,blob_hash,blob_bytes,blob_path,mime,language_guesslang,language_linguist,repo_name,basename,path_reversed,type
0,00000ffdfad70d1363c59002acce00e5ba0183b8,2469,/ssd/swh-datasets/blobs-C,text/plain,CoffeeScript,Protocol Buffer Text Format,Mailspring,win32.cson,menus,cson
1,000010a2ab7a2a6acc2d883f4114d6b662254345,2893,/ssd/swh-datasets/blobs-C,text/plain,CMake,CMake,sway,CMakeLists.txt,,txt
2,00002b115e72552cf0664a52507747eee976ec31,2700,/ssd/swh-datasets/blobs-C,text/x-c,C,C,lvgl,lv_bar.h,lv_objx,h
3,00003797fe0a037ddc3674ccc9d3ff5b6a0b6fd1,87741,/ssd/swh-datasets/blobs-C,text/x-c,C,C,curl,tool_operate.c,src,c
4,000037e5e4671caea07c7eee8ac1472a6c6097fc,27413,/ssd/swh-datasets/blobs-C,text/plain,CoffeeScript,TSX,Mailspring,composer-view.cjsx,lib/composer/internal_packages,cjsx
5,00003ba11bd0dfbf12d8e463f5129eab339e26be,43,/ssd/swh-datasets/blobs-C,text/plain,INI,INI,qmk_firmware,rules.mk,default/keymaps/kb16/doio/keyboards,mk
6,00005e2d5a3766082c93335b49109ec578f7d49f,1366,/ssd/swh-datasets/blobs-C,text/x-diff,C,C,openwrt,220-add_gpio_request_one.patch,patches-3.3/brcm47xx/linux/target,patch
7,0000622e0e6a426853bc095cbdd77ca2c2864066,6794,/ssd/swh-datasets/blobs-C,text/x-c,C++,C,Tasmota,support_udp.ino,tasmota,ino
8,00006c4860bbe6e28076c6656ce05124d639e606,1151,/ssd/swh-datasets/blobs-C,text/plain,INI,RouterOS Script,qmk_firmware,rules.mk,fractal/keyboards,mk
9,00007068630d17871ac9a3ecdb50be439bdb73a1,1366,/ssd/swh-datasets/blobs-C,text/x-c,Objective-C,C,darwin-xnu,IOPMPrivate.h,pwr_mgt/IOKit/iokit,h
10,000079185557a4ff52bfe40d0fc67d2e6c059d24,5187,/ssd/swh-datasets/blobs-C,text/x-c,C,C,libuv,test-udp-ipv6.c,test,c
11,0000860fe6df8e1fa5f4594ac2b9c3efd74d3107,1609,/ssd/swh-datasets/blobs-C,text/xml,XML,XML,raylib,core_basic_window.cbp,CodeBlocks/projects,cbp
12,0000bc7ed9ef855cbcdc65ca748060667aac3318,1848,/ssd/swh-datasets/blobs-C,text/x-c,C,Adblock Filter List,qmk_firmware,jd40.h,jd40/keyboards,h
13,0000c34642e75dc1a31f7cd78c2563ecb41d9c1e,483,/ssd/swh-datasets/blobs-C,text/x-makefile,Makefile,Makefile,openwrt,Makefile,mpc52xx/linux/target,
14,0000d60bb2a8d0b501cf45657fb4d585ad083375,1880,/ssd/swh-datasets/blobs-C,text/plain,Markdown,Perl,curl,test1360,data/tests,
15,0000e25fe8ccb5464ecee8177c0cbad92f31633e,6114,/ssd/swh-datasets/blobs-C,text/x-c,C,C,timescaledb,chunk_stats.c,bgw_policy/src,c
16,0000e563a73ffc2ff99181051d430965d87f65a1,73616,/ssd/swh-datasets/blobs-C,text/x-c,C,C++,libuv,test-fs.c,test,c
17,000121f21f49d44a3606f59805486aaab3f4ce9f,1402,/ssd/swh-datasets/blobs-C,text/x-objective-c,Objective-C,Objective-C,ish,TerminalViewController.m,app,m
18,0001286c6c79e91676ca4cb0f0b4d9078e6c241a,27562,/ssd/swh-datasets/blobs-C,text/x-c,C,C++,nginx,ngx_http_parse.c,http/src,c
19,00012dc66992c70ef7bde1f71daa55dcb131744f,69199,/ssd/swh-datasets/blobs-C,application/json,JSON,Jupyter Notebook,Mailspring,fy.json,lang/app,json
20,0001317dfcc001c1ea018b6bdaab69f553e0d0b1,1307,/ssd/swh-datasets/blobs-C,text/plain,INI,RouterOS Script,qmk_firmware,rules.mk,hs68/comsn/ep/keyboards,mk
21,00015baaaa1b5e5921a1a3fd936b39a5bc5cc7a4,2870,/ssd/swh-datasets/blobs-C,text/x-c,C++,Perl,openwrt,RE350.dts,dts/ramips/linux/target,dts
22,00015dd58df3a8966b3e8b934a422829ef2cf4be,21153,/ssd/swh-datasets/blobs-C,text/x-c,C,C++,obs-studio,obs-module.c,libobs,c
23,0001636fd2b8f0dd14613b85be6002453145e0e6,323850,/ssd/swh-datasets/blobs-C,text/plain,SQL,DataWeave,timescaledb,dist_hypertable-13.out,expected/test/tsl,out
24,0001a15fe4d3cfc540c6d5cdd3cd8857f3886d8a,6361,/ssd/swh-datasets/blobs-C,text/plain,PowerShell,Tcl,redis,sentinel.tcl,tests,tcl
25,0001b4e1b1adc734b9f9aac6f706a422bf160755,566,/ssd/swh-datasets/blobs-C,text/plain,Makefile,Module Management System,openwrt,00-default.mk,profiles/generic/ar71xx/linux/target,mk
26,0001cc3d83ed1d9b2b1faea7844302393447d3b0,22009,/ssd/swh-datasets/blobs-C,text/x-c,C,C,zstd,util.c,programs,c
27,0001cd8d31a2a312c0a37c1d84e2894d1b9d72d5,13049,/ssd/swh-datasets/blobs-C,text/x-c,C,C,curl,sslgen.c,lib,c
28,0001f332a5dce211434e698fd55e3469e112a4de,68224,/ssd/swh-datasets/blobs-C,text/x-c,C++,C++,obs-studio,obs-output.c,libobs,c
29,0001f5a011bed5a6f9239f57d9c3d0c1207a29b6,2957,/ssd/swh-datasets/blobs-C,text/plain,Makefile,Makefile,lede,Makefile,v2ray/lean/package,
30,0001fae5dfc64109d9c05f06356e044a7fc960db,50241,/ssd/swh-datasets/blobs-C,text/x-c,C,C,curl,http2.c,lib,c
31,0001fb17a79e1a7813bccc8ef3c82d44501aaad3,3335,/ssd/swh-datasets/blobs-C,text/x-diff,C,C,lede,114-v5.6-0005-brcmfmac-add-support-for-BCM4359-SDIO-chipset.patch,brcm/patches/mac80211/kernel/package,patch
32,0001fb50f71d33b8a6b9614dbb08d079263ed126,251,/ssd/swh-datasets/blobs-C,text/plain,INI,Shell,qmk_firmware,rules.mk,rev4/planck/keyboards,mk
33,00020810f8a71abd5d9b758e6966d06e4d059313,8258,/ssd/swh-datasets/blobs-C,text/plain,PowerShell,DIGITAL Command Language,curl,generate_vax_transfer.com,vms/packages,com
34,0002263de517829fdd55206bf0a19d83baf81535,3944,/ssd/swh-datasets/blobs-C,text/x-c,C,SQL,qmk_firmware,keymap.c,mf68_ble/keymaps/mf68/40percentclub/keyboards,c
35,00022c4e6ff6d8250ea238207a12199a1e349dac,837,/ssd/swh-datasets/blobs-C,text/x-c,C,C,micropython,sinh.c,libm_dbl/lib,c
36,00022ff61bab1b26296c1cec7eed7eaace045429,39670,/ssd/swh-datasets/blobs-C,text/x-c,C,C,goaccess,goaccess.c,src,c
37,00024074a8b15a10dc18f22af27f04d3f30f3aae,310,/ssd/swh-datasets/blobs-C,text/plain,JSON,OASv3-json,Mailspring,package.json,composer/internal_packages,json
38,000248a4e2f881f3611f571682c9a34becb47be6,934,/ssd/swh-datasets/blobs-C,text/x-diff,SQL,Perl,lede,950-0375-staging-vc-sm-cma-Ensure-mutex-and-idr-are-destroyed.patch,patches-4.19/brcm2708/linux/target,patch
39,00025101a35b8f0bd12fcf8aaa1d420e9d27be88,494,/ssd/swh-datasets/blobs-C,text/plain,Perl,Nginx,nginx,nginx.conf,conf,conf
40,000253b62266ec12bbe485d0231b74b64c7dfb79,525,/ssd/swh-datasets/blobs-C,text/plain,Makefile,Makefile,openwrt,mikrotik.mk,image/ar71xx/linux/target,mk
41,00025725a2db7fc49ff8484c56f1c7ce77297709,3000,/ssd/swh-datasets/blobs-C,text/plain,INI,Visual Basic 6.0,obs-studio,ms-MY.ini,locale/data/obs-transitions/plugins,ini
42,00025c8c6f2111328f29d58e77a049d7e35b76b1,7210,/ssd/swh-datasets/blobs-C,text/x-c,C,C++,micropython,pyexec.c,stmhal,c
43,000284d62b3ee90b9d45ed440fc1d4fac00bf336,2581,/ssd/swh-datasets/blobs-C,text/x-c,C,C,curl,pop3.h,lib,h
44,000296a4db1d530874346729948f05d214517e6b,155,/ssd/swh-datasets/blobs-C,text/plain,Markdown,hoon,nginx-rtmp-module,TODO,,
45,00029b15f58d504604f19c93a47c58cd13637dac,3478,/ssd/swh-datasets/blobs-C,text/troff,Batchfile,Roff Manpage,darwin-xnu,aio_cancel.2,man2/man/bsd,2
46,0002a256d544758d98a6c2c8d403816ac0770b89,4914,/ssd/swh-datasets/blobs-C,text/x-c,C++,C++,qmk_firmware,Endpoint_AVR8.c,AVR8/Core/USB/Drivers/LUFA/LUFA-120730/lufa/protocol,c
47,0002a655d11dee8c9c0b28981f63398f5040f461,1281,/ssd/swh-datasets/blobs-C,text/x-c,C,C,tmux,cmd-kill-server.c,,c
48,0002d19116af73c3f42bbabf937048f71a1317ab,8334,/ssd/swh-datasets/blobs-C,text/x-c,Objective-C,C++,Tasmota,NimBLEUUID.cpp,src/NimBLE-Arduino/libesp32,cpp
49,0002eb4974fa4f0ec7763c19bd285ddad48a9bf4,20176,/ssd/swh-datasets/blobs-C,text/plain,Makefile,Module Management System,openwrt,Makefile,image/ramips/linux/target,
50,0002f19c5f9ba4e537a857f871f861d06ca17ce9,232,/ssd/swh-datasets/blobs-C,text/x-python,Python,Python,micropython,bytearray_construct_endian.py,basics/tests,py
51,0003217198a4f29eea4c436b20ecd9db0812cd08,23322,/ssd/swh-datasets/blobs-C,text/plain,Markdown,RUNOFF,curl,CHANGES,ares,
52,0003333bfa0c83bac9c31355f356bdd955c07662,15000,/ssd/swh-datasets/blobs-C,text/plain,SQL,Shen,timescaledb,insert_single.out,expected/test,out
53,000333c928b1feb313e8d76890883b37a8a18d7d,2160,/ssd/swh-datasets/blobs-C,text/x-diff,C,Perl,lede,860-brcmfmac-register-wiphy-s-during-module_init.patch,brcm/patches/mac80211/kernel/package,patch
54,000334d955e278cd335e8e4c2941d8bfa3cf5895,1480,/ssd/swh-datasets/blobs-C,text/plain,Makefile,Makefile,openwrt,Makefile,strace/package/openwrt,
55,000335b74241dac45d30f1cc1ef3541368cee3c5,60732,/ssd/swh-datasets/blobs-C,text/x-c,C,C,curl,curl.h,curl/include,h
56,00034a163caccdbe3dab50b5480a00bdd3c27bae,1312,/ssd/swh-datasets/blobs-C,text/x-c,C,Unix Assembly,qmk_firmware,post_config.h,crkbd/keyboards,h
57,00034e38f347151b17ac52845e2415fc533d3560,982,/ssd/swh-datasets/blobs-C,text/x-diff,Batchfile,Perl,lede,820-usb-0021-MLK-22099-usb-host-xhci-do-warm-reset-for-link-state.patch,patches-5.4/layerscape/linux/target,patch
58,0003571317b03cc6abad1ef51a830904516f9311,11483,/ssd/swh-datasets/blobs-C,text/x-c,C,C,timescaledb,chunk.c,src/tsl,c
59,00038e67d3f24f5a404a707d2383a728bc9632f6,3613,/ssd/swh-datasets/blobs-C,text/x-c,C,C,sway,background.c,output/commands/sway,c
60,00039b3665bec9f77941ce8191c2ef92377a07d3,65068,/ssd/swh-datasets/blobs-C,text/x-c,C,C,darwin-xnu,vm_shared_region.c,vm/osfmk,c
61,0003a69109a54352f4138e51849cce94c2da7d5c,40982,/ssd/swh-datasets/blobs-C,text/x-c,C,C,netdata,sqlite_aclk_alert.c,sqlite/database,c
62,0003b72b4d5b1b8ea28b32b53ec3b2458e472837,1845,/ssd/swh-datasets/blobs-C,text/plain,YAML,Redirect Rules,timescaledb,load_order.txt,sql/extension,txt
63,0003bd1924764dcddf2256db1416d5093007c85d,3994,/ssd/swh-datasets/blobs-C,text/x-c,C++,Perl,openwrt,qca9558_tplink_tl-wdr4900-v2.dts,dts/ath79/linux/target,dts
64,0003c84449a9bce452c4d6b365b16ed243dbf2b6,5771,/ssd/swh-datasets/blobs-C,text/plain,Markdown,Markdown,netdata,README.md,,md
65,0003e765d42594e5b450e9c37f56795f834f0c8d,7207,/ssd/swh-datasets/blobs-C,text/plain,Markdown,Markdown,qmk_firmware,README.md,planck/keyboard,md
66,0003fc09c3e63d29f84365975a3cfdf4ba4886ad,1183,/ssd/swh-datasets/blobs-C,text/plain,Makefile,Shell,openwrt,Makefile,firewall4/config/network/package,
67,00041674f66779c146c970ffbb1dc5059a029438,6592,/ssd/swh-datasets/blobs-C,text/plain,PowerShell,JavaScript,redis,blockonkeys.tcl,moduleapi/unit/tests,tcl
68,00041d1d8e81d64111c1b6b73d5d30ef0c8e6534,15970,/ssd/swh-datasets/blobs-C,text/plain,Makefile,Makefile,raylib,Makefile,cat_vs_roomba/games,
69,000424c2e4bd6e2dede16216f5ecce9b52c912a2,5074,/ssd/swh-datasets/blobs-C,text/plain,Makefile,Ring,lede,config-3.18,adm5120/linux/target,18
70,000426d8a057f98c5a3445bb168e151b73686ca6,38303,/ssd/swh-datasets/blobs-C,text/xml,XML,XML,obs-studio,OBSBasicSettings.ui,forms/obs,ui
71,00043462192b293ae56d9e81cf879ac8028f13ec,24865,/ssd/swh-datasets/blobs-C,text/x-c,C,C,skynet,lcode.c,lua/3rd,c
72,0004390ce4317ee9b2a1d1f6a50d04071ee3379e,240,/ssd/swh-datasets/blobs-C,text/plain,Makefile,Roff,qmk_firmware,Makefile,itsaferbie/keymaps/deltasplit75/keyboards,
73,0004461e4c17aad543c8919db3b7e09d1ddd5a61,6124,/ssd/swh-datasets/blobs-C,text/plain,CMake,CMake,brotli,CMakeLists.txt,,txt
74,00044fdc7d5841140d82da0d611a685a306beb56,154202,/ssd/swh-datasets/blobs-C,text/xml,XML,XML,curl,curlsrc.tmpl,src/VC11/Windows/projects,tmpl
75,00045d348c20c03b5be22a9ff295db9f588018f6,1588,/ssd/swh-datasets/blobs-C,text/plain,INI,XML,curl,test868,data/tests,
76,00046169216e5178c08453535237bc197606f161,2811,/ssd/swh-datasets/blobs-C,text/plain,PowerShell,Raku,nginx,changes.xsls,xsls/docs,xsls
77,000483b2aef20c5334ceb58e00e14f4df17364a6,609,/ssd/swh-datasets/blobs-C,text/x-c,C,C,qmk_firmware,custom_rgb.c,csc027/users,c
78,00048bd6dd553531a722248fe358c220916835d0,2039,/ssd/swh-datasets/blobs-C,text/x-c,C++,C++,qmk_firmware,secure.c,quantum,c
79,0004949bb06c13773c9b91ed71207b8c0bb689df,501,/ssd/swh-datasets/blobs-C,text/x-c++,C++,C++,Tasmota,JsonBufferAllocated.hpp,Data/ArduinoJson/include/ArduinoJson/lib-before-5.9.1f,hpp
80,000495f5aa0e5aa8e946c9e804eb129995876f4d,1299,/ssd/swh-datasets/blobs-C,text/plain,YAML,RPM Spec,ish,.travis.yml,,yml
81,0004a8e6442432077ca4111684f01800cae4f973,777,/ssd/swh-datasets/blobs-C,text/plain,INI,TextMate Properties,obs-studio,sl-SI.ini,locale/data/obs-ffmpeg/plugins,ini
82,0004b376ec690207ca496bf429d1d819bd64841c,5530,/ssd/swh-datasets/blobs-C,text/plain,JavaScript,JavaScript,lede,fingerprint.js,lib/sshpk/node_modules/request/node/lib/usr/root/luci-app-jd-dailybonus/lean/package,js
83,0004c0e4cb78ccd7c3c36ebc9fb03f5ebe555b46,14175,/ssd/swh-datasets/blobs-C,text/plain,Makefile,Makefile,openwrt,Makefile,package/openwrt,
84,0004dfdd5bb068102cefb20a2926a738c0d04a5f,66829,/ssd/swh-datasets/blobs-C,image/jpeg,Pascal,XML,esp8266_deauther,web_screenshot_3.JPG,screenshots,JPG
85,0004eb20188a2e707dd27bec716029d4a642a63d,1917,/ssd/swh-datasets/blobs-C,text/plain,Makefile,Makefile,openwrt,tiny-tp-link.mk,image/ath79/linux/target,mk
